date,ticker,open,high,low,close,MA_3
2011-04-04,BTC,0.779,0.785,0.5619,0.68,0.7469999999999999
2011-04-05,BTC,0.68,0.7478,0.58,0.71,0.7229999999999999
2011-04-06,BTC,0.71,0.75,0.6902,0.74,0.7099999999999999
2011-04-07,BTC,0.74,0.7849,0.7205,0.7538,0.7345999999999998
2011-04-08,BTC,0.7538,0.799,0.7309,0.75,0.7479333333333331
2011-04-09,BTC,0.75,0.7676,0.7205,0.73,0.7445999999999998
2011-04-10,BTC,0.73,0.7589,0.71,0.7369,0.7389666666666667
2011-04-11,BTC,0.7369,0.799,0.7103,0.77,0.7456333333333331
2011-04-12,BTC,0.77,0.899,0.77,0.86,0.7889666666666666
2011-04-13,BTC,0.86,1.0,0.86,0.9225,0.8508333333333331
2011-04-14,BTC,0.9225,1.0,0.91,1.0,0.9274999999999999
2011-04-15,BTC,1.0,1.09,0.911,0.9899,0.9708
2011-04-16,BTC,0.9899,1.1,0.9541,1.05,1.0132999999999999
2011-04-17,BTC,1.05,1.14,1.03,1.11,1.0499666666666665
2011-04-18,BTC,1.11,1.2,1.11,1.16,1.1066666666666665
2011-04-19,BTC,1.16,1.2,1.14,1.2,1.1566666666666665
2011-04-20,BTC,1.2,1.2,1.13,1.14,1.1666666666666663
2011-04-21,BTC,1.14,1.21,1.14,1.21,1.183333333333333
2011-04-22,BTC,1.21,1.41,1.19,1.41,1.2533333333333332
2011-04-23,BTC,1.41,1.95,1.32,1.7,1.4399999999999997
2011-04-24,BTC,1.7,1.95,1.6,1.63,1.5799999999999998
2011-04-25,BTC,1.63,1.7,1.52,1.56,1.63
2011-04-26,BTC,1.56,1.79,1.53,1.79,1.66
2011-04-27,BTC,1.79,1.95,1.72,1.9,1.7499999999999998
2011-04-28,BTC,1.9,2.65,1.66,2.21,1.9666666666666666
2011-04-29,BTC,2.21,2.95,2.21,2.88,2.3299999999999996
2011-04-30,BTC,2.88,4.15,2.75,3.5,2.8633333333333333
2011-05-01,BTC,3.5,3.87,2.5,3.03,3.1366666666666663
2011-05-02,BTC,3.03,3.5,3.03,3.2,3.2433333333333327
2011-05-03,BTC,3.2,3.49,3.11,3.41,3.213333333333333
2011-05-04,BTC,3.41,3.58,3.25,3.41,3.34
2011-05-05,BTC,3.41,3.45,3.33,3.33,3.383333333333333
2011-05-06,BTC,3.33,3.61,3.29,3.45,3.3966666666666665
2011-05-07,BTC,3.45,3.7,3.43,3.64,3.4733333333333327
2011-05-08,BTC,3.64,3.94,3.63,3.87,3.653333333333333
2011-05-09,BTC,3.87,3.9,3.69,3.8,3.7699999999999996
2011-05-10,BTC,3.8,5.99,3.8,5.81,4.493333333333333
2011-05-11,BTC,5.81,6.07,4.6,5.5,5.036666666666666
2011-05-12,BTC,5.5,6.49,5.22,6.3,5.87
2011-05-13,BTC,6.3,8.45,6.3,8.2,6.666666666666667
2011-05-14,BTC,8.2,8.9,5.83,7.2,7.233333333333333
2011-05-15,BTC,7.2,7.78,6.2,6.99,7.463333333333334
2011-05-16,BTC,6.99,8.5,6.75,8.03,7.406666666666666
2011-05-17,BTC,8.03,8.39,6.98,7.19,7.403333333333333
2011-05-18,BTC,7.19,7.5,6.6,6.88,7.366666666666666
2011-05-19,BTC,6.88,7.34,6.61,6.81,6.96
2011-05-20,BTC,6.81,7.1,5.58,5.59,6.426666666666666
2011-05-21,BTC,5.59,6.52,5.58,6.12,6.173333333333333
2011-05-22,BTC,6.12,6.76,5.99,6.69,6.133333333333334
2011-05-23,BTC,6.69,7.45,6.69,7.15,6.653333333333333
2011-05-24,BTC,7.15,7.51,6.96,7.42,7.086666666666667
2011-05-25,BTC,7.42,9.33,7.22,8.4,7.656666666666666
2011-05-26,BTC,8.4,8.99,8.01,8.8,8.206666666666667
2011-05-27,BTC,8.8,8.83,8.5,8.5,8.566666666666666
2011-05-28,BTC,8.5,8.7,8.11,8.3,8.533333333333333
2011-05-29,BTC,8.3,8.49,8.1,8.43,8.41
2011-05-30,BTC,8.43,9.0,8.25,8.8,8.51
2011-05-31,BTC,8.8,9.5,8.1,8.74,8.656666666666666
2011-06-01,BTC,8.74,9.7,8.3,9.57,9.036666666666667
2011-06-02,BTC,9.57,10.89,9.5,10.6,9.636666666666667
2011-06-03,BTC,10.6,14.5,10.58,14.29,11.486666666666666
2011-06-04,BTC,14.29,18.89,14.04,18.89,14.593333333333334
2011-06-05,BTC,18.89,19.0,16.2,16.7,16.626666666666665
2011-06-06,BTC,16.7,19.23,16.45,18.55,18.046666666666667
2011-06-07,BTC,18.55,24.32,18.26,23.92,19.723333333333333
2011-06-08,BTC,23.92,31.91,22.21,29.6,24.02333333333333
2011-06-09,BTC,29.6,31.5,26.15,28.92,27.48
2011-06-10,BTC,28.92,29.4,20.01,23.95,27.49
2011-06-11,BTC,23.95,23.99,13.0,14.65,22.506666666666664
2011-06-12,BTC,14.65,24.99,10.25,18.55,19.05
2011-06-13,BTC,18.55,24.5,16.0,19.84,17.680000000000003
2011-06-14,BTC,19.84,20.5,18.0,19.28,19.223333333333333
2011-06-15,BTC,19.28,20.0,19.02,19.49,19.536666666666665
2011-06-16,BTC,19.49,19.89,17.0,17.0,18.59
2011-06-17,BTC,17.0,18.34,13.0,15.68,17.389999999999997
2011-06-18,BTC,15.68,16.95,15.05,16.89,16.523333333333333
2011-06-19,BTC,16.89,18.88,16.85,17.51,16.69333333333333
2011-06-20,BTC,17.51,17.51,17.51,17.51,17.303333333333335
2011-06-21,BTC,17.51,17.51,17.51,17.51,17.51
2011-06-22,BTC,17.51,17.51,17.51,17.51,17.51
2011-06-23,BTC,17.51,17.51,17.51,17.51,17.51
2011-06-24,BTC,17.51,17.51,17.51,17.51,17.51
2011-06-25,BTC,17.51,17.51,17.51,17.51,17.51
2011-06-26,BTC,17.51,17.51,14.01,16.45,17.156666666666666
2011-06-27,BTC,16.45,18.0,15.0,16.75,16.903333333333332
2011-06-28,BTC,16.75,17.52,16.5,16.95,16.71666666666667
2011-06-29,BTC,16.95,17.2,16.67,16.85,16.849999999999998
2011-06-30,BTC,16.85,17.0,15.73,16.1,16.633333333333336
2011-07-01,BTC,16.1,16.74,15.26,15.4,16.116666666666667
2011-07-02,BTC,15.4,15.8,15.27,15.4,15.633333333333335
2011-07-03,BTC,15.4,15.69,15.31,15.44,15.413333333333334
2011-07-04,BTC,15.44,15.49,13.14,13.86,14.9
2011-07-05,BTC,13.86,15.0,11.0,12.91,14.07
2011-07-06,BTC,12.91,16.5,12.67,14.78,13.85
2011-07-07,BTC,14.78,15.9,14.5,14.78,14.156666666666666
2011-07-08,BTC,14.78,15.64,13.9,14.31,14.623333333333333
2011-07-09,BTC,14.31,14.7,14.02,14.38,14.49
2011-07-10,BTC,14.38,15.68,14.35,14.9,14.530000000000001
2011-07-11,BTC,14.9,15.2,13.8,14.21,14.496666666666668
2011-07-12,BTC,14.21,14.64,13.9,14.01,14.373333333333333
2011-07-13,BTC,14.01,14.15,13.91,13.95,14.056666666666667
2011-07-14,BTC,13.95,14.07,13.7,13.99,13.983333333333334
2011-07-15,BTC,13.99,14.09,13.5,13.81,13.916666666666666
2011-07-16,BTC,13.81,13.81,13.5,13.72,13.839999999999998
2011-07-17,BTC,13.72,13.75,13.02,13.16,13.563333333333333
2011-07-18,BTC,13.16,13.92,12.51,13.48,13.453333333333333
2011-07-19,BTC,13.48,14.7,13.44,13.85,13.496666666666668
2011-07-20,BTC,13.85,14.0,13.4,13.69,13.673333333333332
2011-07-21,BTC,13.69,13.78,13.4,13.61,13.716666666666667
2011-07-22,BTC,13.61,13.81,13.45,13.7,13.666666666666666
2011-07-23,BTC,13.7,13.76,13.51,13.68,13.663333333333332
2011-07-24,BTC,13.68,14.1,13.6,13.98,13.786666666666667
